OSINT,source
Malspam,attack-type
M2M,attack-type
Locky,campaign
Ransomware,attack-type
Malware,attack-type
Trojan,attack-type
Android,target-platform
Dridex,campaign
APT,attack-type
RAT,attack-type
GlobeImposter,campaign
Phishing,attack-type
Banking,target-industry
Sofacy,campaign
Backdoor,attack-type
Windows,target-platform
Trickbot,attack-type
Korean,target-location
Infrastructure,target-platform
Emotet,campaign
Spam,attack-type
Mobile,target-platform
Government,target-industry
Botnet,attack-type
TeslaCrypt,campaign
Spyware,attack-type
Russian,target-location
Linux,target-platform
Chrome,target-platform
Chinese,target-location
Worm,attack-type
PlugX,campaign
European,target-location
WannaCry,campaign
SMS,target-platform
SMB,target-platform
Shamoon,campaign
Bad Rabbit,campaign
Poison Ivy,campaign
Mac,target-platform
Hong Kong,target-location
Japanese,target-location
Israeli,target-location
Facebook,target-location
EternalBlue,vulneribility
Cryptocurrency,target-platform
Cerber,campaign
Brazilian,target-location
Bitcoin,target-platform
Angler,campaign
Zeus,campaign
Ukrainian,target-location
UK,target-location
Tibetan,target-location
SSH,target-platform
Sednit,campaign
ScanBox,campaign
Rotten Tomato,campaign
PowerShell,target-platform
Pawn Storm,campaign
Palestinian,target-location
OpenDNS,target-platform
Nuclear,campaign
Neutrino,campaign
Malvertising,attack-type
Kronos,campaign
HIDDEN COBRA,campaign
GandCrab,campaign
Financial,target-indistry
Fileless,attack-type
Fareit,campaign
EK,attack-type
Downloader,attack-type
DGA,attack-type
C&C,attack-type
Carbanak,campaign
APT28,campaign
American,target-location
Adware,attack-type
Websites,target-platform
U.S.,target-location
UAC,target-platform
TrickBot,campaign
TeamViewer,target-platform
Tajikistan,target-location
Cobalt Strike,campaign
Steganography,attack-type
SSL,target-platform
SPAM,attack-type
Shakti,campaign
ShadowPad,campaign
Scam,attack-type
Sauron,campaign
Saudi Arabia,target-location
Saga,campaign
ROKRAT,campaign
PsExec,target-platform
Point-of-Sale,target-platform
PhishMe,campaign
OSX,target-platform
Orcus,campaign
NSA,target-indistry
Netherlands,target-location
Nemucod,campaign
NanoCore,campaign
Mirai,campaign
Mimikatz,campaign
Messenger,target-platform
Magniber,campaign
Lazarus,campaign
Kovter,campaign
Korplug,campaign
KillDisk,campaign
Keylogger,attack-type
KASPERAGENT,campaign
Japan,target-location
Italian,target-location
IoT,target-platform
German,target-location
Gaza,campaign
French,target-location
FinFisher,campaign
Evasion,attack-type
Europe,target-location
Ethiopian,target-location
EPS,target-platform
CVE-2014-4114,vulneribility
CryptoWall,campaign
CryptoMix,campaign
CARBANAK,campaign
Brazil,target-location
Blockbuster,target-industry
Belarus,target-location
Banks,target-industry
ATP,attack-type
Astrum,campaign
APT15,campaign
Afghanistan,target-location
ZeroT,campaign
Zero-day,attack-type
Zebrocy,campaign
ZAYKA,campaign
YellowAlbatross/Sphinx,campaign
Xorist,campaign
WhiteRose,campaign
Webshells,attack-type
VPS,target-platform
VPNFilter,target-platform
VPN,target-platform
Unix,target-platform
Umbreon,campaign
Ukraine,target-location
UBoatRAT,campaign
TwoFace,campaign
TorrentLocker,campaign
Tofsee,campaign
Tizi,campaign
Blue Termite,campaign
Telegram,target-platform
Telecom,target-industry
Taiwan,target-location
Syria,target-location
SVG,target-platform
StrongPity2,campaign
SteamStealer,campaign
Stantinko,campaign
Stampado,campaign
StalinLocker,campaign
SQLi,attack-type
SherlockDroid,campaign
SHELLTEA,campaign
ShellShock,vulnerability
SHARPKNOT,campaign
SEDNIT,campaign
Seaduke,campaign
SCADA,target-platform
Satori,campaign
RDP,target-platform
Qakbot,campaign
PowerSploit,campaign
PowerSniff,campaign
PowerPoint,target-platform
PETYA,campaign
PayPal,target-platform
OceanLotus,target-platform
Nitro,campaign
NGO,target-industry
NetTraveler,campaign
Neo23x0,campaign
NATO,target-industry
Mole66,campaign
Minecraft,target-platform
Military,target-industry
InfoStealer,attack-type
GoldenEye,campaign
GlassRAT,campaign
Gh0st,campaign
Fireball,campaign
FAREIT,campaign
ELF,target-platform
CryptoCoin,target-platform
BlackTech,campaign
BlackOasis,campaign
BlackNurse,campaign
BlackMoon,campaign
BlackBerry,target-platform
BitTorrent,target-platform
ARM,target-platform
APT30,campaign
APT29,campaign
AbaddonPOS,campaign
